stemmested,year,avg education
Holstebro,2011,12.794804661430259
Holstebro,2015,12.968354105759861
Holstebro,2019,13.11522448664902
Holstebro,2022,13.198490265168077
Horsens,2007,12.72661766825191
Horsens,2011,12.830385978388003
Horsens,2015,13.034308821077206
Horsens,2019,13.231144969026477
Horsens,2022,13.37738223938224
Hvidovre,2007,12.690967219020173
Hvidovre,2011,12.80759782417968
Hvidovre,2015,13.065492105485351
Hvidovre,2019,13.342410099249305
Hvidovre,2022,13.48983653764716
Høje-Taastrup,2007,12.61218085430504
Høje-Taastrup,2011,12.680524038607002
Høje-Taastrup,2015,12.874158173907862
Høje-Taastrup,2019,13.120154698075064
Høje-Taastrup,2022,13.3445283121696
Hørsholm,2007,14.105853786586167
Hørsholm,2011,14.155935680254103
Hørsholm,2015,14.258793642522146
Hørsholm,2019,14.389345643237414
Hørsholm,2022,14.504654983570646
Ikast-Brande,2007,12.340227088402271
Ikast-Brande,2011,12.463970695436652
Ikast-Brande,2015,12.660746165336832
Ikast-Brande,2019,12.862589457623423
Ikast-Brande,2022,12.993137988806902
Ishøj,2007,12.192906929069292
Ishøj,2011,12.311774292116521
Ishøj,2015,12.55800471636316
Ishøj,2019,12.83565296566077
Ishøj,2022,12.982361137500792
Jammerbugt,2007,12.405876323881106
Jammerbugt,2011,12.499406970960708
Jammerbugt,2015,12.649288914864602
Jammerbugt,2019,12.816932214953646
Jammerbugt,2022,12.921433832555856
Kalundborg,2007,12.452129381640521
Kalundborg,2011,12.49367619732662
Kalundborg,2015,12.582154350598094
Kalundborg,2019,12.716879308731322
Kalundborg,2022,12.822601798651013
Kerteminde,2007,12.61430993344217
Kerteminde,2011,12.681151701234413
Kerteminde,2015,12.79940918620164
Kerteminde,2019,12.980870927727361
Kerteminde,2022,13.148343373493976
Kolding,2007,12.789905169269538
Kolding,2011,12.88367125628471
Kolding,2015,13.08021554297146
Kolding,2019,13.268934541728047
Kolding,2022,13.388593469737614
København,2007,13.594429379945211
København,2011,13.824812756450813
København,2015,14.229875751328647
København,2019,14.591900731773661
København,2022,14.737471396861583
Køge,2007,12.697353487412299
Køge,2011,12.767832471984853
Køge,2015,12.922101718417274
Køge,2019,13.117334555181296
Køge,2022,13.27554943062305
Langeland,2007,12.296362419102879
Langeland,2011,12.38801189659117
Langeland,2015,12.482773418342324
Langeland,2019,12.628440366972477
Langeland,2022,12.761898466419884
Lejre,2007,13.187168727915195
Lejre,2011,13.25349986275048
Lejre,2015,13.34916923415493
Lejre,2019,13.500441111601235
Lejre,2022,13.685636343993085
Lemvig,2007,12.414057724957555
Lemvig,2011,12.529693353683918
Lemvig,2015,12.680104979222863
Lemvig,2019,12.828890434245093
Lemvig,2022,12.970825029892387
Lolland,2007,12.196633370329264
Lolland,2011,12.258413656573524
Lolland,2015,12.374554940599992
Lolland,2019,12.460516382304093
Lolland,2022,12.534586377563045
Lyngby-Taarbæk,2007,14.163216706356476
Lyngby-Taarbæk,2011,14.313320161599481
Lyngby-Taarbæk,2015,14.553494987045173
Lyngby-Taarbæk,2019,14.736662480205318
Lyngby-Taarbæk,2022,14.897340467802177
Læsø,2007,12.207568807339449
Læsø,2011,12.23628526645768
Læsø,2015,12.493638676844784
Læsø,2019,12.676663542642924
Læsø,2022,12.818313953488373
Mariagerfjord,2007,12.519799585348999
Mariagerfjord,2011,12.600120461194287
Mariagerfjord,2015,12.739510061242346
Mariagerfjord,2019,12.909346766097805
Mariagerfjord,2022,13.017047719120258
Middelfart,2007,12.775779138177771
Middelfart,2011,12.893321700507615
Middelfart,2015,13.053922730504858
Middelfart,2019,13.215120166778114
Middelfart,2022,13.363015017327685
Morsø,2007,12.215055585683297
Morsø,2011,12.302434782608696
Morsø,2015,12.421176555821198
Morsø,2019,12.540147933506177
Morsø,2022,12.661333021879623
Norddjurs,2007,12.326579329310213
Norddjurs,2011,12.398968516665384
Norddjurs,2015,12.524090386824971
Norddjurs,2019,12.688032317121706
Norddjurs,2022,12.796673732268058
Nordfyns,2007,12.484449880191693
Nordfyns,2011,12.56001605780811
Nordfyns,2015,12.714467327739639
Nordfyns,2019,12.86841837513354
Nordfyns,2022,12.988928571428572
Nyborg,2007,12.624372154156692
Nyborg,2011,12.69817403171914
Nyborg,2015,12.81374266237455
Nyborg,2019,12.988776196885214
Nyborg,2022,13.090702132758208
Næstved,2007,12.680465799036895
Næstved,2011,12.74710511221051
Næstved,2015,12.870163194999378
Næstved,2019,13.001456813956814
Næstved,2022,13.107189090457696
