stemmested,year,ratio
Skive,2011,2.728017304744104
Skive,2015,1.5034844704465284
Skive,2019,1.158435676334814
Skive,2022,0.7158797145319163
Struer,2007,1.3849682427664078
Struer,2011,2.787204198905027
Struer,2015,1.8271028037383177
Struer,2019,1.6417626344341867
Struer,2022,1.0357228482378327
Viborg,2007,1.199991312280092
Viborg,2011,2.4415207795807836
Viborg,2015,1.755302476230279
Viborg,2019,1.4647109719418236
Viborg,2022,1.094542659492698
Region Nordjylland,2007,2.2515759995439146
Region Nordjylland,2011,2.9367922756262783
Region Nordjylland,2015,2.318102708413829
Region Nordjylland,2019,1.918791696298554
Region Nordjylland,2022,1.3773164684624113
Brønderslev,2007,2.409570724841661
Brønderslev,2011,2.866821579551499
Brønderslev,2015,2.0148963370574178
Brønderslev,2019,1.6756400395560926
Brønderslev,2022,1.2980255771284608
Frederikshavn,2007,2.798361779095154
Frederikshavn,2011,3.2405368821044735
Frederikshavn,2015,2.289721950491602
Frederikshavn,2019,1.8138920031458643
Frederikshavn,2022,1.4874995759693341
Hjørring,2007,2.531249534422908
Hjørring,2011,3.2340335627188215
Hjørring,2015,2.2062761058155727
Hjørring,2019,1.8108651911468814
Hjørring,2022,1.2383852580619974
Jammerbugt,2007,2.436019200657135
Jammerbugt,2011,2.673049553629189
Jammerbugt,2015,2.054456089251814
Jammerbugt,2019,1.4664205298874184
Jammerbugt,2022,1.1120950098968643
Læsø,2007,4.243634548177734
Læsø,2011,3.8601982263954095
Læsø,2015,2.7517886626307098
Læsø,2019,2.28158041179744
Læsø,2022,1.9596864501679732
Mariagerfjord,2007,1.6452996460965148
Mariagerfjord,2011,2.603689343202914
Mariagerfjord,2015,2.088382038488952
Mariagerfjord,2019,1.760428626100268
Mariagerfjord,2022,1.066622124654004
Morsø,2007,1.4621339006835363
Morsø,2011,3.20910490228089
Morsø,2015,1.7145347992444422
Morsø,2019,1.3289857220493058
Morsø,2022,0.8990110878034162
Rebild,2007,1.6972142037352624
Rebild,2011,2.5295459257723407
Rebild,2015,1.707753752926594
Rebild,2019,1.4809403639261522
Rebild,2022,1.0709201501229455
Thisted,2007,1.1065006915629323
Thisted,2011,2.258704029581449
Thisted,2015,1.6366202312665028
Thisted,2019,1.4948406117560347
Thisted,2022,0.8324685806526
Vesthimmerlands,2007,1.6302218042166314
Vesthimmerlands,2011,2.848328501901545
Vesthimmerlands,2015,2.2015105254700305
Vesthimmerlands,2019,1.7814468824679557
Vesthimmerlands,2022,1.1036982126678199
Aalborg,2007,2.586281995439289
Aalborg,2011,3.068580383572548
Aalborg,2015,2.81076292136437
Aalborg,2019,2.3509961223531146
Aalborg,2022,1.7371421383873822
