stemmested,year,percentage
Nordfyns,2015,75.73095305032331
Nordfyns,2019,76.58746140421533
Nordfyns,2022,77.53813782219883
Nyborg,2007,65.06928406466513
Nyborg,2011,67.19607092741421
Nyborg,2015,67.52099533437014
Nyborg,2019,69.32732732732732
Nyborg,2022,70.91167922178066
Næstved,2007,64.51372500310521
Næstved,2011,65.74552006232956
Næstved,2015,66.25118035882909
Næstved,2019,67.86853860880665
Næstved,2022,69.89410322149148
Odder,2007,71.68820678513733
Odder,2011,72.08166455016118
Odder,2015,73.44472765033512
Odder,2019,74.85781348740633
Odder,2022,76.64035087719299
Odense,2007,52.61828134869312
Odense,2011,54.255589928339276
Odense,2015,54.319235763309216
Odense,2019,54.51492668518584
Odense,2022,56.500142537513284
Odsherred,2007,67.88720786483782
Odsherred,2011,69.60428546742699
Odsherred,2015,69.88241881298993
Odsherred,2019,71.47809131777068
Odsherred,2022,72.88062978632249
Randers,2007,62.72400667208417
Randers,2011,64.29535777339288
Randers,2015,65.40015680598276
Randers,2019,67.26133359443847
Randers,2022,68.77178200758301
Rebild,2007,75.56777996070727
Rebild,2011,76.7594859241126
Rebild,2015,78.74896748516933
Rebild,2019,80.79259473531964
Rebild,2022,82.1637633119402
Region Hovedstaden,2007,47.35522885521022
Region Hovedstaden,2011,47.188278922730866
Region Hovedstaden,2015,47.91908831790241
Region Hovedstaden,2019,48.44747514553517
Region Hovedstaden,2022,49.57103488747281
Region Midtjylland,2007,62.98854500508171
Region Midtjylland,2011,63.899561863110534
Region Midtjylland,2015,65.03889954465828
Region Midtjylland,2019,66.05777587908608
Region Midtjylland,2022,67.39383479168339
Region Nordjylland,2007,63.70794334523255
Region Nordjylland,2011,65.23547463525861
Region Nordjylland,2015,66.01952068674547
Region Nordjylland,2019,67.50899841860675
Region Nordjylland,2022,68.58653567781323
Region Sjælland,2007,65.52003740846864
Region Sjælland,2011,66.60006741342505
Region Sjælland,2015,67.14854199788654
Region Sjælland,2019,68.58986873686507
Region Sjælland,2022,70.17548201866198
Region Syddanmark,2007,64.92567488027625
Region Syddanmark,2011,66.51978250209616
Region Syddanmark,2015,67.3707351733309
Region Syddanmark,2019,68.65077360277866
Region Syddanmark,2022,70.03530902383126
Ringkøbing-Skjern,2007,72.8505092869982
Ringkøbing-Skjern,2011,73.70824586601849
Ringkøbing-Skjern,2015,74.99269753176574
Ringkøbing-Skjern,2019,76.03184279413347
Ringkøbing-Skjern,2022,77.60271525544837
Ringsted,2007,66.47537701855065
Ringsted,2011,66.76563487049906
Ringsted,2015,66.48849918923788
Ringsted,2019,67.18643683374916
Ringsted,2022,69.1178094291708
Roskilde,2007,61.03555177758888
Roskilde,2011,61.44625185401318
Roskilde,2015,61.597161014983534
Roskilde,2019,63.89839668528193
Roskilde,2022,65.97795538380467
Rudersdal,2007,66.18677342366618
Rudersdal,2011,66.11855846276535
Rudersdal,2015,67.17405939112872
Rudersdal,2019,66.77187636047019
Rudersdal,2022,68.29761861742493
Rødovre,2007,50.220584418954694
Rødovre,2011,51.73576877172954
Rødovre,2015,52.45375708055542
Rødovre,2019,54.40370034809976
Rødovre,2022,55.97946725860156
Samsø,2007,61.7634027470093
Samsø,2011,63.644730786930516
Samsø,2015,67.21620348563354
Samsø,2019,69.16977611940298
Samsø,2022,70.31463748290014
Silkeborg,2007,68.75382169499817
Silkeborg,2011,70.01286081737639
Silkeborg,2015,71.93379871480745
Silkeborg,2019,74.06890439791735
Silkeborg,2022,75.67476525327382
Skanderborg,2007,75.5974112180551
Skanderborg,2011,76.4066343940957
Skanderborg,2015,77.69428363301768
Skanderborg,2019,78.74841743534094
Skanderborg,2022,80.33142977262376
Skive,2007,69.70965097717762
Skive,2011,71.194439677364
Skive,2015,72.5533731853117
Skive,2019,73.534995570181
Skive,2022,74.71371617609636
Slagelse,2007,60.16929647341637
Slagelse,2011,61.40003508859871
Slagelse,2015,62.186603926181895
Slagelse,2019,64.13689073253512
Slagelse,2022,66.07295098965415
Solrød,2007,74.20587272131863
Solrød,2011,74.7296284398758
Solrød,2015,75.09731612374514
Solrød,2019,74.9808868501529
Solrød,2022,75.53525286083426
Sorø,2007,69.19713261648745
Sorø,2011,69.79725492928308
Sorø,2015,70.67186111680678
Sorø,2019,72.57520661157025
Sorø,2022,74.40317439666948
Stevns,2007,72.74988043998087
Stevns,2011,73.74238875878221
Stevns,2015,73.75325725581813
Stevns,2019,74.52196821619785
Stevns,2022,76.05830999835283
Struer,2007,68.92281910436645
Struer,2011,70.3014514328247
Struer,2015,71.12085042894442
Struer,2019,72.74826789838336
Struer,2022,73.43088533038836
Svendborg,2007,60.815454939775115
Svendborg,2011,63.81867766396169
Svendborg,2015,65.06962317692866
Svendborg,2019,66.68165323228106
Svendborg,2022,68.98858592263792
Syddjurs,2007,71.89896717455773
Syddjurs,2011,73.90698831136532
Syddjurs,2015,75.51376502520357
Syddjurs,2019,76.52270724126734
Syddjurs,2022,78.09502262443438
Sønderborg,2007,67.8283609969579
Sønderborg,2011,68.95337446053642
Sønderborg,2015,69.85172114093075
Sønderborg,2019,71.18133935289691
Sønderborg,2022,72.13875215833826
Thisted,2007,69.05444126074498
Thisted,2011,70.11168070303918
Thisted,2015,71.6094938727165
Thisted,2019,73.36416814038907
Thisted,2022,74.14261152836848
Tårnby,2007,55.29105821164233
Tårnby,2011,57.18068153959304
Tårnby,2015,57.8803836750047
Tårnby,2019,59.257365926201324
Tårnby,2022,61.30388082006258
Tønder,2007,70.83009280862757
Tønder,2011,71.67474976782582
Tønder,2015,73.44067531655463
Tønder,2019,74.91597290449351
Tønder,2022,75.18274477504376
Vallensbæk,2007,69.63173812488881
Vallensbæk,2011,68.75472840066575
Vallensbæk,2015,69.6438828259621
Vallensbæk,2019,66.5638653302493
Vallensbæk,2022,67.73482096523092
Varde,2007,73.7124885336129
Varde,2011,75.26185812824662
Varde,2015,75.99767451517793
Varde,2019,77.03571138046043
Varde,2022,77.78494017162886
Vejen,2007,73.25177543932404
Vejen,2011,75.02779743252805
Vejen,2015,75.65157750342935
Vejen,2019,76.77308354043204
Vejen,2022,77.52029450632433
Vejle,2007,66.84661354581674
Vejle,2011,68.22955811219671
Vejle,2015,69.3683570652274
Vejle,2019,71.03334619025912
Vejle,2022,72.24038767879001
Vesthimmerlands,2007,69.94892635509913
Vesthimmerlands,2011,71.71180931744313
Vesthimmerlands,2015,72.90522161181929
Vesthimmerlands,2019,74.15689149560117
Vesthimmerlands,2022,75.51204022228103
Viborg,2007,68.8492425625114
Viborg,2011,70.72163116629278
Viborg,2015,71.16654123212558
Viborg,2019,72.33471074380165
Viborg,2022,73.59657177838996
Vordingborg,2007,65.23396590004607
Vordingborg,2011,66.55539070227498
Vordingborg,2015,67.08660137359288
Vordingborg,2019,69.15676959619952
Vordingborg,2022,70.52313488481614
Ærø,2007,55.02252849191625
Ærø,2011,57.712486883525706
Ærø,2015,58.310700706137965
Ærø,2019,60.40974529346622
Ærø,2022,62.40705039933903
