stemmested,year,ratio
Kerteminde,2019,45.35709781831939
Kerteminde,2022,38.02360372340426
Langeland,2007,47.74033913106761
Langeland,2011,53.2683966212617
Langeland,2015,44.3593425881602
Langeland,2019,51.57936825269892
Langeland,2022,59.46425689849927
Middelfart,2007,76.32666201641895
Middelfart,2011,82.19506350347471
Middelfart,2015,52.407744934886544
Middelfart,2019,58.33075574801526
Middelfart,2022,56.53630726145229
Nordfyns,2007,57.41431964709874
Nordfyns,2011,65.03871756554815
Nordfyns,2015,42.61936498171503
Nordfyns,2019,47.66550053821313
Nordfyns,2022,40.474833171255156
Nyborg,2007,76.05910083209416
Nyborg,2011,91.40535736955694
Nyborg,2015,67.35522876846049
Nyborg,2019,69.70710512331593
Nyborg,2022,70.51541261003453
Odense,2007,123.79902852374126
Odense,2011,120.10971786833856
Odense,2015,89.2153314028314
Odense,2019,80.46391325737834
Odense,2022,80.2523798981625
Svendborg,2007,65.10840108401084
Svendborg,2011,71.38469937896676
Svendborg,2015,52.77806411710133
Svendborg,2019,56.32213388048218
Svendborg,2022,55.840112483679825
Ærø,2007,37.99165673420739
Ærø,2011,22.406015037593985
Ærø,2015,22.90804963410754
Ærø,2019,27.712854757929883
Ærø,2022,28.243894334607077
Billund,2007,70.24177838890799
Billund,2011,98.22245956667683
Billund,2015,75.1660026560425
Billund,2019,81.68326131880518
Billund,2022,73.40232187233411
Esbjerg,2007,93.12524071286019
Esbjerg,2011,101.27263572755525
Esbjerg,2015,77.20972859872556
Esbjerg,2019,80.96742093194307
Esbjerg,2022,71.83456282500907
Fanø,2007,88.03258145363408
Fanø,2011,46.648130985480385
Fanø,2015,44.336471302763435
Fanø,2019,43.877258388299396
Fanø,2022,53.44626168224299
Fredericia,2007,110.12271799122577
Fredericia,2011,117.59899559576715
Fredericia,2015,103.08056872037915
Fredericia,2019,93.07662388175807
Fredericia,2022,82.29306702515844
Haderslev,2007,90.5449002020775
Haderslev,2011,80.14036587755393
Haderslev,2015,71.70781342044664
Haderslev,2019,56.16362035189878
Haderslev,2022,58.00970435974675
Kolding,2007,105.84295006892152
Kolding,2011,100.24381514785487
Kolding,2015,88.76870971266251
Kolding,2019,72.97227760982827
Kolding,2022,67.85525341233732
Sønderborg,2007,71.45736091427977
Sønderborg,2011,78.52427388342761
Sønderborg,2015,55.35223540451773
Sønderborg,2019,55.63563374779411
Sønderborg,2022,52.5515422296388
Tønder,2007,78.97540069859043
Tønder,2011,87.14541272680808
Tønder,2015,62.9996042738425
Tønder,2019,83.02583025830258
Tønder,2022,62.833464236383826
Varde,2007,66.33416458852868
Varde,2011,74.55371373924132
Varde,2015,54.65373354313144
Varde,2019,58.279445033934614
Varde,2022,47.95822412516756
Vejen,2007,80.00565410983108
Vejen,2011,73.52494095086644
Vejen,2015,53.151491090819924
Vejen,2019,52.104067629908904
Vejen,2022,59.78095883053499
Vejle,2007,82.14765612343115
Vejle,2011,102.17840880637293
Vejle,2015,72.47352360437982
Vejle,2019,68.00214506893629
Vejle,2022,57.42598888796749
Aabenraa,2007,110.2360896509329
Aabenraa,2011,109.90024310503814
Aabenraa,2015,98.21671195652173
Aabenraa,2019,90.91527730520585
Aabenraa,2022,84.50250779449641
Region Midtjylland,2007,82.40874797197506
Region Midtjylland,2011,85.89199913716882
Region Midtjylland,2015,66.553993634464
Region Midtjylland,2019,70.58865200657466
Region Midtjylland,2022,67.02283126548676
Favrskov,2007,56.28892202438383
Favrskov,2011,58.616224019701505
Favrskov,2015,43.14170926147956
Favrskov,2019,40.36856458143955
Favrskov,2022,35.69832175220448
Hedensted,2007,53.7960097451768
Hedensted,2011,64.6617193941761
Hedensted,2015,45.90965119045045
Hedensted,2019,45.260790403769946
Hedensted,2022,39.212386401884885
Horsens,2007,90.40972759731342
Horsens,2011,97.6152126355266
Horsens,2015,67.74779716803236
Horsens,2019,69.82781282860147
Horsens,2022,57.8346571297875
Norddjurs,2007,87.53013141183484
Norddjurs,2011,79.99472156241752
Norddjurs,2015,59.50790032230171
Norddjurs,2019,60.599571734475376
Norddjurs,2022,53.099970335212106
Odder,2007,51.479454596048605
Odder,2011,56.39614855570839
Odder,2015,39.360449316061235
Odder,2019,35.09232519471427
Odder,2022,37.407752990075494
Randers,2007,89.76549485284696
Randers,2011,96.04744323233169
Randers,2015,74.85728979172023
Randers,2019,79.44956377827269
Randers,2022,68.32951166027496
Samsø,2007,51.16279069767442
Samsø,2011,44.776119402985074
Samsø,2015,49.82587731047415
Samsø,2019,44.474761255115965
Samsø,2022,47.845625165212795
Silkeborg,2007,69.95456158221836
Silkeborg,2011,71.28364366025087
Silkeborg,2015,52.577422245826
Silkeborg,2019,50.15887910259965
Silkeborg,2022,42.55984505351505
Skanderborg,2007,63.53936192991221
Skanderborg,2011,70.73195947343028
Skanderborg,2015,53.06885975260373
Skanderborg,2019,44.73503097040606
Skanderborg,2022,35.71208953388267
Syddjurs,2007,63.22521256752501
Syddjurs,2011,69.01987008024456
Syddjurs,2015,54.088200238379024
Syddjurs,2019,45.6301191362621
Syddjurs,2022,41.70626838651278
Aarhus,2007,123.54876096175362
Aarhus,2011,128.1896200468575
Aarhus,2015,97.47007378321227
Aarhus,2019,87.24573329104484
Aarhus,2022,87.91026219675972
Herning,2007,66.60887326619799
Herning,2011,69.33422921421207
Herning,2015,66.18067794282575
Herning,2019,65.18493573553349
Herning,2022,78.71590441560753
Holstebro,2007,74.83339179235357
Holstebro,2011,69.65862890789289
Holstebro,2015,57.57270421458601
Holstebro,2019,65.90854762148687
Holstebro,2022,55.12131436613032
Ikast-Brande,2007,63.49484872032687
Ikast-Brande,2011,74.24473904686808
Ikast-Brande,2015,45.844359502107224
Ikast-Brande,2019,263.55225750493906
Ikast-Brande,2022,114.50399623883403
Lemvig,2007,45.135269859971906
Lemvig,2011,40.25998316655756
Lemvig,2015,33.06471306471307
Lemvig,2019,38.43427182499494
Lemvig,2022,34.87592219986586
Ringkøbing-Skjern,2007,59.14199561403509
