parti,stemmested,year,stemmer
GYLDIGE STEMMER I ALT,Hillerød,2022,32761
GYLDIGE STEMMER I ALT,Hørsholm,2007,15934
GYLDIGE STEMMER I ALT,Hørsholm,2011,16310
GYLDIGE STEMMER I ALT,Hørsholm,2015,16292
GYLDIGE STEMMER I ALT,Hørsholm,2019,16297
GYLDIGE STEMMER I ALT,Hørsholm,2022,16066
GYLDIGE STEMMER I ALT,Rudersdal,2007,34443
GYLDIGE STEMMER I ALT,Rudersdal,2011,35163
GYLDIGE STEMMER I ALT,Rudersdal,2015,35065
GYLDIGE STEMMER I ALT,Rudersdal,2019,35228
GYLDIGE STEMMER I ALT,Rudersdal,2022,35545
GYLDIGE STEMMER I ALT,Bornholm,2007,27901
GYLDIGE STEMMER I ALT,Bornholm,2011,27302
GYLDIGE STEMMER I ALT,Bornholm,2015,25897
GYLDIGE STEMMER I ALT,Bornholm,2019,25227
GYLDIGE STEMMER I ALT,Bornholm,2022,24662
GYLDIGE STEMMER I ALT,Christiansø,2007,66
GYLDIGE STEMMER I ALT,Christiansø,2011,62
GYLDIGE STEMMER I ALT,Christiansø,2015,55
GYLDIGE STEMMER I ALT,Christiansø,2019,56
GYLDIGE STEMMER I ALT,Christiansø,2022,59
GYLDIGE STEMMER I ALT,Greve,2007,30040
GYLDIGE STEMMER I ALT,Greve,2011,30471
GYLDIGE STEMMER I ALT,Greve,2015,30371
GYLDIGE STEMMER I ALT,Greve,2019,30357
GYLDIGE STEMMER I ALT,Greve,2022,29510
GYLDIGE STEMMER I ALT,Køge,2007,35767
GYLDIGE STEMMER I ALT,Køge,2011,36370
GYLDIGE STEMMER I ALT,Køge,2015,37150
GYLDIGE STEMMER I ALT,Køge,2019,37547
GYLDIGE STEMMER I ALT,Køge,2022,37552
GYLDIGE STEMMER I ALT,Lejre,2007,17533
GYLDIGE STEMMER I ALT,Lejre,2011,17815
GYLDIGE STEMMER I ALT,Lejre,2015,17915
GYLDIGE STEMMER I ALT,Lejre,2019,18160
GYLDIGE STEMMER I ALT,Lejre,2022,18429
GYLDIGE STEMMER I ALT,Roskilde,2007,52306
GYLDIGE STEMMER I ALT,Roskilde,2011,53819
GYLDIGE STEMMER I ALT,Roskilde,2015,54191
GYLDIGE STEMMER I ALT,Roskilde,2019,55622
GYLDIGE STEMMER I ALT,Roskilde,2022,56602
GYLDIGE STEMMER I ALT,Solrød,2007,13335
GYLDIGE STEMMER I ALT,Solrød,2011,13738
GYLDIGE STEMMER I ALT,Solrød,2015,13907
GYLDIGE STEMMER I ALT,Solrød,2019,14555
GYLDIGE STEMMER I ALT,Solrød,2022,14760
GYLDIGE STEMMER I ALT,Faxe,2007,22587
GYLDIGE STEMMER I ALT,Faxe,2011,23005
GYLDIGE STEMMER I ALT,Faxe,2015,22608
GYLDIGE STEMMER I ALT,Faxe,2019,22608
GYLDIGE STEMMER I ALT,Faxe,2022,22625
GYLDIGE STEMMER I ALT,Guldborgsund,2007,41859
GYLDIGE STEMMER I ALT,Guldborgsund,2011,41345
GYLDIGE STEMMER I ALT,Guldborgsund,2015,39650
GYLDIGE STEMMER I ALT,Guldborgsund,2019,37975
GYLDIGE STEMMER I ALT,Guldborgsund,2022,37618
GYLDIGE STEMMER I ALT,Holbæk,2007,43472
GYLDIGE STEMMER I ALT,Holbæk,2011,44244
GYLDIGE STEMMER I ALT,Holbæk,2015,43531
GYLDIGE STEMMER I ALT,Holbæk,2019,43964
GYLDIGE STEMMER I ALT,Holbæk,2022,44665
GYLDIGE STEMMER I ALT,Kalundborg,2007,31660
GYLDIGE STEMMER I ALT,Kalundborg,2011,31649
GYLDIGE STEMMER I ALT,Kalundborg,2015,31027
GYLDIGE STEMMER I ALT,Kalundborg,2019,30227
GYLDIGE STEMMER I ALT,Kalundborg,2022,29925
GYLDIGE STEMMER I ALT,Lolland,2007,31087
GYLDIGE STEMMER I ALT,Lolland,2011,29788
GYLDIGE STEMMER I ALT,Lolland,2015,27168
GYLDIGE STEMMER I ALT,Lolland,2019,25032
GYLDIGE STEMMER I ALT,Lolland,2022,23919
GYLDIGE STEMMER I ALT,Næstved,2007,52200
GYLDIGE STEMMER I ALT,Næstved,2011,52740
GYLDIGE STEMMER I ALT,Næstved,2015,52435
GYLDIGE STEMMER I ALT,Næstved,2019,51690
GYLDIGE STEMMER I ALT,Næstved,2022,52065
