parti,stemmested,year,stemmer
A. Socialdemokratiet,Kalundborg,2022,31.01420217209691
A. Socialdemokratiet,Lolland,2007,25.541223019268504
A. Socialdemokratiet,Lolland,2011,31.150127568148246
A. Socialdemokratiet,Lolland,2015,35.62647232037691
A. Socialdemokratiet,Lolland,2019,39.948865452221156
A. Socialdemokratiet,Lolland,2022,43.63476733977173
A. Socialdemokratiet,Næstved,2007,29.385057471264368
A. Socialdemokratiet,Næstved,2011,28.835798255593478
A. Socialdemokratiet,Næstved,2015,32.859731095642225
A. Socialdemokratiet,Næstved,2019,33.6796285548462
A. Socialdemokratiet,Næstved,2022,32.8128301162009
A. Socialdemokratiet,Odsherred,2007,24.68470115152623
A. Socialdemokratiet,Odsherred,2011,25.152377082486794
A. Socialdemokratiet,Odsherred,2015,28.664078556748116
A. Socialdemokratiet,Odsherred,2019,30.360381306672867
A. Socialdemokratiet,Odsherred,2022,33.53578770323304
A. Socialdemokratiet,Ringsted,2007,25.936282832317985
A. Socialdemokratiet,Ringsted,2011,24.82569601384815
A. Socialdemokratiet,Ringsted,2015,26.25923438549362
A. Socialdemokratiet,Ringsted,2019,25.712784755718992
A. Socialdemokratiet,Ringsted,2022,27.401347449470645
A. Socialdemokratiet,Slagelse,2007,26.024885666021177
A. Socialdemokratiet,Slagelse,2011,25.650648112461205
A. Socialdemokratiet,Slagelse,2015,27.387054599788325
A. Socialdemokratiet,Slagelse,2019,28.010307992850908
A. Socialdemokratiet,Slagelse,2022,31.893279039681026
A. Socialdemokratiet,Sorø,2007,24.298165873482702
A. Socialdemokratiet,Sorø,2011,23.823975720789075
A. Socialdemokratiet,Sorø,2015,25.66334111653577
A. Socialdemokratiet,Sorø,2019,26.19417788023374
A. Socialdemokratiet,Sorø,2022,29.610666666666667
A. Socialdemokratiet,Stevns,2007,24.236811415243192
A. Socialdemokratiet,Stevns,2011,21.404295812941815
A. Socialdemokratiet,Stevns,2015,24.846038045709594
A. Socialdemokratiet,Stevns,2019,24.08888888888889
A. Socialdemokratiet,Stevns,2022,27.024700350970136
A. Socialdemokratiet,Vordingborg,2007,25.907323395981855
A. Socialdemokratiet,Vordingborg,2011,27.192611622386263
A. Socialdemokratiet,Vordingborg,2015,29.826193878568343
A. Socialdemokratiet,Vordingborg,2019,29.960398743684284
A. Socialdemokratiet,Vordingborg,2022,33.46336026748398
A. Socialdemokratiet,Assens,2007,26.915454511460943
A. Socialdemokratiet,Assens,2011,28.933579335793358
A. Socialdemokratiet,Assens,2015,28.80737396538751
