stemmested,year,avg salary
Esbjerg,2015,294849
Esbjerg,2019,323003
Esbjerg,2022,354270
Fanø,2007,276948
Fanø,2011,292860
Fanø,2015,311302
Fanø,2019,332734
Fanø,2022,356100
Fredericia,2007,263683
Fredericia,2011,275355
Fredericia,2015,295812
Fredericia,2019,320608
Fredericia,2022,353985
Haderslev,2007,253521
Haderslev,2011,262565
Haderslev,2015,280738
Haderslev,2019,307969
Haderslev,2022,335529
Kolding,2007,269683
Kolding,2011,282190
Kolding,2015,303927
Kolding,2019,332888
Kolding,2022,366491
Sønderborg,2007,248417
Sønderborg,2011,264899
Sønderborg,2015,282945
Sønderborg,2019,312845
Sønderborg,2022,340968
Tønder,2007,240445
Tønder,2011,245577
Tønder,2015,263345
Tønder,2019,298550
Tønder,2022,333132
Varde,2007,257491
Varde,2011,266031
Varde,2015,286346
Varde,2019,314202
Varde,2022,351378
Vejen,2007,249849
Vejen,2011,260131
Vejen,2015,287526
Vejen,2019,315692
Vejen,2022,353416
Vejle,2007,272645
Vejle,2011,284653
Vejle,2015,310525
Vejle,2019,343644
Vejle,2022,378172
Aabenraa,2007,252526
Aabenraa,2011,261635
Aabenraa,2015,277947
Aabenraa,2019,305855
Aabenraa,2022,337605
Landsdel Østjylland,2007,264708
Landsdel Østjylland,2011,274755
Landsdel Østjylland,2015,300331
Landsdel Østjylland,2019,328745
Landsdel Østjylland,2022,362504
Favrskov,2007,273010
Favrskov,2011,287496
Favrskov,2015,309921
Favrskov,2019,341952
Favrskov,2022,377631
Hedensted,2007,269249
Hedensted,2011,277368
Hedensted,2015,305408
Hedensted,2019,331872
Hedensted,2022,367832
Horsens,2007,260931
Horsens,2011,271651
Horsens,2015,293193
Horsens,2019,325451
Horsens,2022,356344
Norddjurs,2007,240799
Norddjurs,2011,250674
Norddjurs,2015,268649
Norddjurs,2019,294950
Norddjurs,2022,327123
Odder,2007,266762
Odder,2011,280988
Odder,2015,301469
Odder,2019,330256
Odder,2022,359591
Randers,2007,252698
Randers,2011,263499
Randers,2015,280907
Randers,2019,308386
Randers,2022,340816
Samsø,2007,229392
Samsø,2011,244605
Samsø,2015,273793
Samsø,2019,297801
Samsø,2022,321390
Silkeborg,2007,281787
Silkeborg,2011,277189
Silkeborg,2015,306948
Silkeborg,2019,340637
Silkeborg,2022,379883
Skanderborg,2007,289157
Skanderborg,2011,305479
Skanderborg,2015,333338
Skanderborg,2019,366933
Skanderborg,2022,403433
Syddjurs,2007,273370
Syddjurs,2011,271923
Syddjurs,2015,295206
Syddjurs,2019,324847
Syddjurs,2022,352364
Aarhus,2007,260679
Aarhus,2011,274041
Aarhus,2015,303066
Aarhus,2019,327869
Aarhus,2022,361364
Landsdel Vestjylland,2007,260719
Landsdel Vestjylland,2011,270479
Landsdel Vestjylland,2015,288798
Landsdel Vestjylland,2019,318336
Landsdel Vestjylland,2022,350465
Herning,2007,264035
Herning,2011,279511
Herning,2015,291084
Herning,2019,322493
Herning,2022,358379
Holstebro,2007,264603
Holstebro,2011,270667
Holstebro,2015,291755
Holstebro,2019,314745
Holstebro,2022,349412
Ikast-Brande,2007,265750
Ikast-Brande,2011,268633
Ikast-Brande,2015,288390
Ikast-Brande,2019,324890
Ikast-Brande,2022,348055
Lemvig,2007,254193
Lemvig,2011,264969
Lemvig,2015,290905
Lemvig,2019,317157
Lemvig,2022,353197
Ringkøbing-Skjern,2007,260713
Ringkøbing-Skjern,2011,269605
Ringkøbing-Skjern,2015,289490
Ringkøbing-Skjern,2019,317349
Ringkøbing-Skjern,2022,348794
Skive,2007,249281
Skive,2011,256348
Skive,2015,276127
Skive,2019,305678
Skive,2022,339014
Struer,2007,250890
Struer,2011,263386
Struer,2015,276057
Struer,2019,300986
Struer,2022,332380
Viborg,2007,263217
Viborg,2011,273709
Viborg,2015,293476
Viborg,2019,324806
Viborg,2022,354679
Landsdel Nordjylland,2007,247858
Landsdel Nordjylland,2011,261412
Landsdel Nordjylland,2015,281154
Landsdel Nordjylland,2019,309448
Landsdel Nordjylland,2022,341854
Brønderslev,2007,244215
Brønderslev,2011,258440
Brønderslev,2015,279391
Brønderslev,2019,308082
Brønderslev,2022,339070
Frederikshavn,2007,245591
Frederikshavn,2011,258961
Frederikshavn,2015,279647
Frederikshavn,2019,303939
Frederikshavn,2022,332902
Hjørring,2007,241847
Hjørring,2011,258604
Hjørring,2015,280522
Hjørring,2019,307772
Hjørring,2022,336152
